date,time,frame,frequency,activity
29/08/2019,15:00:00,10,0,10.009125
29/08/2019,15:00:00,20,0,4.0013125
29/08/2019,15:00:00,30,0,3.7364375
29/08/2019,15:00:00,40,0,3.489
29/08/2019,15:00:00,50,0,3.951
29/08/2019,15:00:00,60,0,3.990625
29/08/2019,15:00:00,70,0,3.8020625
29/08/2019,15:00:00,80,0,3.896375
29/08/2019,15:00:00,90,0,2.626125
29/08/2019,15:00:00,100,0,1.1183125
29/08/2019,15:00:00,110,0,1.681125
29/08/2019,15:00:00,120,0,1.3569375
29/08/2019,15:00:00,130,0,4.36325
29/08/2019,15:00:00,140,0,3.7635625
29/08/2019,15:00:00,150,0,3.492125
29/08/2019,15:00:00,160,0,3.194125
29/08/2019,15:00:00,170,0,3.2365
29/08/2019,15:00:00,180,0,3.5345625
29/08/2019,15:00:00,190,0,3.7519375
29/08/2019,15:00:00,200,0,3.8085625
29/08/2019,15:00:00,210,0,2.7351875
29/08/2019,15:00:00,220,0,3.20475
29/08/2019,15:00:00,230,0,3.3934375
29/08/2019,15:00:00,240,0,2.81025
29/08/2019,15:00:00,250,0,3.583125
29/08/2019,15:00:00,260,0,4.366625
29/08/2019,15:00:00,270,0,3.467625
29/08/2019,15:00:00,280,0,4.2339375
29/08/2019,15:00:00,290,0,5.011125
29/08/2019,15:00:00,300,0,5.1089375
29/08/2019,15:00:00,310,0,4.325125
29/08/2019,15:00:00,320,0,4.335375
29/08/2019,15:00:00,330,0,4.37075
29/08/2019,15:00:00,340,0,5.1766875
29/08/2019,15:00:00,350,0,4.878625
29/08/2019,15:00:00,360,0,4.3691875
29/08/2019,15:00:00,370,0,3.7156875
29/08/2019,15:00:00,380,350,0.5935625
29/08/2019,15:00:00,390,350,0.8545625
29/08/2019,15:00:00,400,350,0.8935
29/08/2019,15:00:00,410,350,1.007375
29/08/2019,15:00:00,420,350,0.608875
29/08/2019,15:00:00,430,350,0.6966875
29/08/2019,15:00:00,440,350,0.61025
29/08/2019,15:00:00,450,350,1.0710625
29/08/2019,15:00:00,460,350,1.296875
29/08/2019,15:00:00,470,350,1.136125
29/08/2019,15:00:00,480,350,0.796125
29/08/2019,15:00:00,490,350,0.94575
29/08/2019,15:00:00,500,0,0.9211875
29/08/2019,15:00:00,510,0,1.23275
29/08/2019,15:00:00,520,0,1.4046875
29/08/2019,15:00:00,530,0,2.138875
29/08/2019,15:00:00,540,0,1.602
29/08/2019,15:00:00,550,0,2.22425
29/08/2019,15:00:00,560,0,2.5045
29/08/2019,15:00:00,570,0,2.852375
29/08/2019,15:00:00,580,0,2.8595
29/08/2019,15:00:00,590,0,2.9448125
29/08/2019,15:00:00,600,0,2.8661875
29/08/2019,15:00:00,610,0,3.2823125
29/08/2019,15:00:00,620,0,3.0358125
29/08/2019,15:00:00,630,0,3.463
29/08/2019,15:00:00,640,0,3.1969375
29/08/2019,15:00:00,650,0,2.90275
29/08/2019,15:00:00,660,0,3.21025
29/08/2019,15:00:00,670,0,3.13425
29/08/2019,15:00:00,680,0,3.2235
29/08/2019,15:00:00,690,0,4.265875
29/08/2019,15:00:00,700,0,3.613625
29/08/2019,15:00:00,710,0,3.590625
29/08/2019,15:00:00,720,0,3.63325
29/08/2019,15:00:00,730,0,3.7836875
29/08/2019,15:00:00,740,0,3.8865625
29/08/2019,15:00:00,750,0,4.1411875
29/08/2019,15:00:00,760,0,0.7680625
29/08/2019,15:00:00,770,1500,0.5348125
29/08/2019,15:00:00,780,1500,0.4465
29/08/2019,15:00:00,790,1500,0.52225
