group1;group2;p.value
WN;Control;1,19756411042855e-57
50;Control;3,10953919668456e-02
50;WN;1,61997332552119e-24
100;Control;5,97183072401560e-05
100;WN;1,25191509975834e-30
100;50;1,00000000000000e+00
150;Control;1,00000000000000e+00
150;WN;1,28399987682569e-30
150;50;1,00000000000000e+00
150;100;1,00000000000000e+00
200;Control;8,98248833832498e-01
200;WN;1,58025086830621e-30
200;50;2,06184508166113e-03
200;100;5,36484172722763e-05
200;150;3,83711048990619e-01
250;Control;2,08514848564251e-57
250;WN;3,06376050720255e-03
250;50;1,41413962349970e-24
250;100;1,10334122430703e-30
250;150;1,31026280389895e-30
250;200;5,16055700608536e-30
300;Control;1,89877487279133e-58
300;WN;9,26180286315894e-15
300;50;1,41413962349970e-24
300;100;1,10334122430703e-30
300;150;1,10334122430703e-30
300;200;1,10334122430703e-30
300;250;3,09330305200870e-24
350;Control;1,89877487279133e-58
350;WN;7,96403646082951e-23
350;50;1,41413962349970e-24
350;100;1,10334122430703e-30
350;150;1,10334122430703e-30
350;200;1,10334122430703e-30
350;250;3,82069290806167e-28
350;300;2,80806067779244e-04
400;Control;1,89877487279133e-58
400;WN;1,16134334610598e-26
400;50;1,41413962349970e-24
400;100;1,10334122430703e-30
400;150;1,10334122430703e-30
400;200;1,10334122430703e-30
400;250;1,05977776770530e-29
400;300;1,78872488781782e-11
400;350;1,44443646069848e-02
440;Control;4,97261691476809e-72
440;WN;4,36096841530854e-30
440;50;8,99872123966144e-27
440;100;3,55797201754078e-34
440;150;3,64123667546170e-34
440;200;4,05048142957113e-34
440;250;1,36018181742581e-32
440;300;3,61708061890784e-17
440;350;5,69159739974503e-07
440;400;2,66499617439185e-01
450;Control;1,89877487279133e-58
450;WN;6,48886550491766e-24
450;50;1,41413962349970e-24
450;100;1,10334122430703e-30
450;150;1,10334122430703e-30
450;200;1,10334122430703e-30
450;250;1,92955194643885e-28
450;300;3,42921344536147e-07
450;350;1,00000000000000e+00
450;400;1,00000000000000e+00
450;440;1,65044924420248e-02
500;Control;1,89877487279133e-58
500;WN;4,51757353481786e-30
500;50;1,41413962349970e-24
500;100;1,10334122430703e-30
500;150;1,10334122430703e-30
500;200;1,10334122430703e-30
500;250;1,10334122430703e-30
500;300;4,70739754974600e-23
500;350;3,06802839560439e-14
500;400;1,76030924548370e-06
500;440;4,96606903196542e-01
500;450;2,10155650458034e-07
550;Control;1,89877487279133e-58
550;WN;3,08244436698280e-29
550;50;1,41413962349970e-24
550;100;1,10334122430703e-30
550;150;1,10334122430703e-30
550;200;1,10334122430703e-30
550;250;1,14873354873195e-30
550;300;5,50906970124446e-20
550;350;9,02616098422304e-11
550;400;3,33400762919294e-04
550;440;4,18844691474690e-01
550;450;5,25713850909427e-06
550;500;1,00000000000000e+00
600;Control;1,89877487279133e-58
600;WN;1,36892393304240e-29
600;50;1,41413962349970e-24
600;100;1,10334122430703e-30
600;150;1,10334122430703e-30
600;200;1,10334122430703e-30
600;250;1,12689555501299e-30
600;300;5,13691189005948e-22
600;350;3,72707838498408e-13
600;400;9,37898327005611e-06
600;440;5,26625943734417e-01
600;450;5,21547587296279e-07
600;500;1,00000000000000e+00
600;550;1,00000000000000e+00
650;Control;3,68246669631579e-56
650;WN;1,42150363124163e-27
650;50;3,38018908637012e-24
650;100;3,88293352865311e-30
650;150;3,88293352865311e-30
650;200;3,88293352865311e-30
650;250;1,75836222550235e-29
650;300;1,65579986634370e-17
650;350;1,06412977141178e-09
650;400;5,18506331512481e-04
650;440;1,00000000000000e+00
